"businessentityid","emailaddress"
1,ken0@adventure-works.com
2,terri0@adventure-works.com
3,roberto0@adventure-works.com
4,rob0@adventure-works.com
5,gail0@adventure-works.com
6,jossef0@adventure-works.com
7,dylan0@adventure-works.com
8,diane1@adventure-works.com
9,gigi0@adventure-works.com
10,michael6@adventure-works.com
11,ovidiu0@adventure-works.com
12,thierry0@adventure-works.com
13,janice0@adventure-works.com
14,michael8@adventure-works.com
15,sharon0@adventure-works.com
16,david0@adventure-works.com
17,kevin0@adventure-works.com
18,john5@adventure-works.com
19,mary2@adventure-works.com
20,wanida0@adventure-works.com
21,terry0@adventure-works.com
22,sariya0@adventure-works.com
23,mary0@adventure-works.com
24,jill0@adventure-works.com
25,james1@adventure-works.com
26,peter0@adventure-works.com
27,jo0@adventure-works.com
28,guy1@adventure-works.com
29,mark1@adventure-works.com
30,britta0@adventure-works.com
31,margie0@adventure-works.com
32,rebecca0@adventure-works.com
33,annik0@adventure-works.com
34,suchitra0@adventure-works.com
35,brandon0@adventure-works.com
36,jose0@adventure-works.com
37,chris2@adventure-works.com
38,kim1@adventure-works.com
39,ed0@adventure-works.com
40,jolynn0@adventure-works.com
41,bryan0@adventure-works.com
42,james0@adventure-works.com
43,nancy0@adventure-works.com
44,simon0@adventure-works.com
45,thomas0@adventure-works.com
46,eugene1@adventure-works.com
47,andrew0@adventure-works.com
48,ruth0@adventure-works.com
49,barry0@adventure-works.com
50,sidney0@adventure-works.com
51,jeffrey0@adventure-works.com
52,doris0@adventure-works.com
53,diane0@adventure-works.com
54,bonnie0@adventure-works.com
55,taylor0@adventure-works.com
56,denise0@adventure-works.com
57,frank1@adventure-works.com
58,kendall0@adventure-works.com
59,bob0@adventure-works.com
60,pete0@adventure-works.com
61,diane2@adventure-works.com
62,john0@adventure-works.com
63,maciej0@adventure-works.com
64,michael7@adventure-works.com
65,randy0@adventure-works.com
66,karan0@adventure-works.com
67,jay0@adventure-works.com
68,charles0@adventure-works.com
69,steve0@adventure-works.com
70,david2@adventure-works.com
71,michael3@adventure-works.com
72,steven0@adventure-works.com
73,carole0@adventure-works.com
74,bjorn0@adventure-works.com
75,michiko0@adventure-works.com
76,carol0@adventure-works.com
77,merav0@adventure-works.com
78,reuben0@adventure-works.com
79,eric1@adventure-works.com
80,sandeep0@adventure-works.com
81,mihail0@adventure-works.com
82,jack1@adventure-works.com
83,patrick1@adventure-works.com
84,frank3@adventure-works.com
85,brian2@adventure-works.com
86,ryan0@adventure-works.com
87,cristian0@adventure-works.com
88,betsy0@adventure-works.com
89,patrick0@adventure-works.com
90,danielle0@adventure-works.com
91,kimberly0@adventure-works.com
92,tom0@adventure-works.com
93,kok-ho0@adventure-works.com
94,russell0@adventure-works.com
95,jim0@adventure-works.com
96,elizabeth0@adventure-works.com
97,mandar0@adventure-works.com
98,sameer0@adventure-works.com
99,nuan0@adventure-works.com
100,lolan0@adventure-works.com
101,houman0@adventure-works.com
102,zheng0@adventure-works.com
103,ebru0@adventure-works.com
104,mary1@adventure-works.com
105,kevin2@adventure-works.com
106,john4@adventure-works.com
107,christopher0@adventure-works.com
108,jinghao0@adventure-works.com
109,alice0@adventure-works.com
110,jun0@adventure-works.com
111,suroor0@adventure-works.com
112,john1@adventure-works.com
113,linda0@adventure-works.com
114,mindaugas0@adventure-works.com
115,angela0@adventure-works.com
116,michael2@adventure-works.com
117,chad0@adventure-works.com
118,don0@adventure-works.com
119,michael4@adventure-works.com
120,kitti0@adventure-works.com
121,pilar0@adventure-works.com
122,susan0@adventure-works.com
123,vamsi0@adventure-works.com
124,kim0@adventure-works.com
125,matthias0@adventure-works.com
126,jimmy0@adventure-works.com
127,david4@adventure-works.com
128,paul0@adventure-works.com
129,gary0@adventure-works.com
130,rob1@adventure-works.com
131,baris0@adventure-works.com
132,nicole0@adventure-works.com
133,michael1@adventure-works.com
134,eric0@adventure-works.com
135,ivo0@adventure-works.com
136,sylvester0@adventure-works.com
137,anibal0@adventure-works.com
138,samantha0@adventure-works.com
139,hung-fu0@adventure-works.com
140,prasanna0@adventure-works.com
141,min0@adventure-works.com
142,olinda0@adventure-works.com
143,krishna0@adventure-works.com
144,paul1@adventure-works.com
145,cynthia0@adventure-works.com
146,jianshuo0@adventure-works.com
147,sandra0@adventure-works.com
148,jason0@adventure-works.com
149,andy0@adventure-works.com
150,michael5@adventure-works.com
151,rostislav0@adventure-works.com
152,yuhong0@adventure-works.com
153,hanying0@adventure-works.com
154,raymond0@adventure-works.com
155,fadi0@adventure-works.com
156,lane0@adventure-works.com
157,linda1@adventure-works.com
158,shelley0@adventure-works.com
159,terrence0@adventure-works.com
160,jeff0@adventure-works.com
161,kirk0@adventure-works.com
162,laura0@adventure-works.com
163,alex0@adventure-works.com
164,andrew1@adventure-works.com
165,chris0@adventure-works.com
166,jack0@adventure-works.com
167,david1@adventure-works.com
168,garrett0@adventure-works.com
169,susan1@adventure-works.com
170,george0@adventure-works.com
171,david3@adventure-works.com
172,marc0@adventure-works.com
173,eugene0@adventure-works.com
174,benjamin0@adventure-works.com
175,reed0@adventure-works.com
176,david7@adventure-works.com
177,russell1@adventure-works.com
178,john3@adventure-works.com
179,jan0@adventure-works.com
180,katie0@adventure-works.com
181,michael0@adventure-works.com
182,nitin0@adventure-works.com
183,barbara0@adventure-works.com
184,john2@adventure-works.com
185,stefen0@adventure-works.com
186,shane0@adventure-works.com
187,yvonne0@adventure-works.com
188,douglas0@adventure-works.com
189,janeth0@adventure-works.com
190,robert0@adventure-works.com
191,lionel0@adventure-works.com
192,brenda0@adventure-works.com
193,alejandro0@adventure-works.com
194,fred0@adventure-works.com
195,kevin1@adventure-works.com
196,shammi0@adventure-works.com
197,rajesh0@adventure-works.com
198,lorraine0@adventure-works.com
199,paula1@adventure-works.com
200,frank0@adventure-works.com
