"id_pelanggan,""nama_depan"",""nama_belakang"",""email"",""kota_asal"""
11000,Jon,Yang,jon24@adventure-works.com,Rockhampton
11001,Eugene,Huang,eugene10@adventure-works.com,Seaford
11002,Ruben,Torres,ruben35@adventure-works.com,Hobart
11003,Christy,Zhu,christy12@adventure-works.com,North Ryde
11004,Elizabeth,Johnson,elizabeth5@adventure-works.com,Wollongong
11005,Julio,Ruiz,julio1@adventure-works.com,East Brisbane
11006,Janet,Alvarez,janet9@adventure-works.com,Matraville
11007,Marco,Mehta,marco14@adventure-works.com,Warrnambool
11008,Rob,Verhoff,rob4@adventure-works.com,Bendigo
11009,Shannon,Carlson,shannon38@adventure-works.com,Hervey Bay
11010,Jacquelyn,Suarez,jacquelyn20@adventure-works.com,East Brisbane
11011,Curtis,Lu,curtis9@adventure-works.com,East Brisbane
11012,Lauren,Walker,lauren41@adventure-works.com,Bremerton
11013,Ian,Jenkins,ian47@adventure-works.com,Lebanon
11014,Sydney,Bennett,sydney23@adventure-works.com,Redmond
11015,Chloe,Young,chloe23@adventure-works.com,Burbank
11016,Wyatt,Hill,wyatt32@adventure-works.com,Imperial Beach
11017,Shannon,Wang,shannon1@adventure-works.com,Sunbury
11018,Clarence,Rai,clarence32@adventure-works.com,Bendigo
11019,Luke,Lal,luke18@adventure-works.com,Langley
11020,Jordan,King,jordan73@adventure-works.com,Metchosin
11021,Destiny,Wilson,destiny7@adventure-works.com,Beaverton
11022,Ethan,Zhang,ethan20@adventure-works.com,Bellingham
11023,Seth,Edwards,seth46@adventure-works.com,Bellflower
11024,Russell,Xie,russell7@adventure-works.com,Concord
11025,Alejandro,Beck,alejandro45@adventure-works.com,Hawthorne
11026,Harold,Sai,harold3@adventure-works.com,Goulburn
11027,Jessie,Zhao,jessie16@adventure-works.com,Warrnambool
11028,Jill,Jimenez,jill13@adventure-works.com,St. Leonards
11029,Jimmy,Moreno,jimmy9@adventure-works.com,Bendigo
11030,Bethany,Yuan,bethany10@adventure-works.com,Cloverdale
11031,Theresa,Ramos,theresa13@adventure-works.com,Matraville
11032,Denise,Stone,denise10@adventure-works.com,Melbourne
11033,Jaime,Nath,jaime41@adventure-works.com,Milsons Point
11034,Ebony,Gonzalez,ebony19@adventure-works.com,North Sydney
11035,Wendy,Dominguez,wendy12@adventure-works.com,Cranbourne
11036,Jennifer,Russell,jennifer93@adventure-works.com,National City
11037,Chloe,Garcia,chloe27@adventure-works.com,Cliffside
11038,Diana,Hernandez,diana2@adventure-works.com,Lavender Bay
11039,Marc,Martin,marc3@adventure-works.com,Wollongong
11040,Jesse,Murphy,jesse15@adventure-works.com,Tacoma
11041,Amanda,Carter,amanda53@adventure-works.com,Glendale
11042,Megan,Sanchez,megan28@adventure-works.com,Los Angeles
11043,Nathan,Simmons,nathan11@adventure-works.com,Glendale
11044,Adam,Flores,adam10@adventure-works.com,Hervey Bay
11045,Leonard,Nara,leonard18@adventure-works.com,Matraville
11046,Christine,Yuan,christine4@adventure-works.com,Lavender Bay
11047,Jaclyn,Lu,jaclyn12@adventure-works.com,Geelong
11048,Jeremy,Powell,jeremy26@adventure-works.com,Sunbury
11049,Carol,Rai,carol8@adventure-works.com,Chula Vista
11050,Alan,Zheng,alan23@adventure-works.com,Hobart
11051,Daniel,Johnson,daniel18@adventure-works.com,Caloundra
11052,Heidi,Lopez,heidi19@adventure-works.com,Matraville
11053,Ana,Price,ana0@adventure-works.com,San Diego
11054,Deanna,Munoz,deanna33@adventure-works.com,Geelong
11055,Gilbert,Raje,gilbert35@adventure-works.com,East Brisbane
11056,Michele,Nath,michele19@adventure-works.com,Newcastle
11057,Carl,Andersen,carl12@adventure-works.com,Lane Cove
11058,Marc,Diaz,marc6@adventure-works.com,Findon
11059,Ashlee,Andersen,ashlee19@adventure-works.com,Townsville
11060,Jon,Zhou,jon28@adventure-works.com,Warrnambool
11061,Todd,Gao,todd14@adventure-works.com,Gold Coast
11062,Noah,Powell,noah5@adventure-works.com,Portland
11063,Angela,Murphy,angela41@adventure-works.com,Redmond
11064,Chase,Reed,chase21@adventure-works.com,Downey
11065,Jessica,Henderson,jessica29@adventure-works.com,La Jolla
11066,Grace,Butler,grace62@adventure-works.com,Lebanon
11067,Caleb,Carter,caleb40@adventure-works.com,Port Orchard
11068,Tiffany,Liang,tiffany17@adventure-works.com,Warrnambool
11069,Carolyn,Navarro,carolyn30@adventure-works.com,Gold Coast
11070,Willie,Raji,willie40@adventure-works.com,Sunbury
